ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030027	lamellipodium	11/349	209/19944	0.0526315789473684	3.00769114763987	3.89391803842387	0.00118411187276945	0.0146435168265821	0.0112594497375621	PTPRO/PODXL/PLCE1/SRGAP2/AIF1/DPYSL3/CAPG/CARMIL1/APBB2/IQGAP2/ABLIM1	11
GO:0044304	main axon	6/349	71/19944	0.0845070422535211	4.82925057508374	4.3136665281565	0.00151419805141205	0.0181215315185119	0.013933707026576	CLDN5/SPOCK1/NFASC/MAP1B/MYO1D/CRHBP	6
GO:0043218	compact myelin	3/349	15/19944	0.2	11.4292263610315	5.39250173923302	0.00206742487491734	0.023969207143573	0.0184300046415329	CLDN5/PALS1/JAM3	3
GO:0005912	adherens junction	10/349	198/19944	0.0505050505050505	2.88616827298776	3.5596622124203	0.00264165529375374	0.0296986095146254	0.0228353615504709	VEGFA/PALS1/PDLIM2/EPB41L5/NECTIN2/TJP1/CDH10/CXADR/JCAD/EFNB2	10
GO:0031594	neuromuscular junction	6/349	81/19944	0.0740740740740741	4.23304680038204	3.89105530540995	0.00296686853190173	0.0310272684898922	0.0238569719414407	SPOCK1/F2R/COL4A5/ITGA3/CXADR/POSTN	6
GO:0070160	tight junction	8/349	138/19944	0.0579710144927536	3.3128192350816	3.63846474046261	0.00300645739289684	0.0310272684898922	0.0238569719414407	CLDN5/PALS1/MAGI2/SYNPO/TJP1/JAM3/GJA1/CXADR	8
GO:0031143	pseudopodium	3/349	17/19944	0.176470588235294	10.0846114950278	5.00086561106619	0.00301073225238846	0.0310272684898922	0.0238569719414407	MYOZ1/RAB25/ARRB1	3
GO:0043197	dendritic spine	9/349	171/19944	0.0526315789473684	3.00769114763987	3.51879527643129	0.00324056156332334	0.0324931983781881	0.0249841304028627	PTPRO/DDN/SRGAP2/SYNPO/ZNF804A/LPAR1/MAP1B/PRKAR2B/ITGA8	9
GO:0044309	neuron spine	9/349	172/19944	0.0523255813953488	2.99020457120011	3.4984201532511	0.00336827072064791	0.0328849588779046	0.0252853563793791	PTPRO/DDN/SRGAP2/SYNPO/ZNF804A/LPAR1/MAP1B/PRKAR2B/ITGA8	9
GO:0034358	plasma lipoprotein particle	4/349	37/19944	0.108108108108108	6.17796019515217	4.20718864377817	0.00385997542703349	0.0354639733238227	0.0272683693311277	LPL/CLU/APOC1/APOL1	4
GO:1990777	lipoprotein particle	4/349	37/19944	0.108108108108108	6.17796019515217	4.20718864377817	0.00385997542703349	0.0354639733238227	0.0272683693311277	LPL/CLU/APOC1/APOL1	4
GO:0030427	site of polarized growth	9/349	176/19944	0.0511363636363636	2.9222453764001	3.41837038146703	0.00391919920829307	0.0354639733238227	0.0272683693311277	PTPRO/FRY/ZNF804A/DPYSL3/MAP1B/SNCA/APBB2/ITGA3/CXADR	9
GO:0097440	apical dendrite	3/349	19/19944	0.157894736842105	9.02307344291962	4.66932095857148	0.00418072797841029	0.0369297638092909	0.0283954206052428	CLU/MAP1B/MYO1D	3
GO:0035580	specific granule lumen	5/349	62/19944	0.0806451612903226	4.60855901654497	3.79782497917656	0.00456351875369053	0.0393736152934694	0.0302745062974329	QPCT/CHI3L1/LTF/ERP44/NIT2	5
GO:0031674	I band	8/349	150/19944	0.0533333333333333	3.04779369627507	3.35969901886254	0.00498030913370449	0.0411427801260522	0.0316348231356509	MYOZ1/ANKRD2/PDLIM2/NEBL/SYNPO/MYL9/PARVA/CSRP1	8
GO:0030667	secretory granule membrane	13/349	325/19944	0.04	2.2858452722063	3.11908552684768	0.00499036416623275	0.0411427801260522	0.0316348231356509	PTPRC/TLR2/CR1/NFASC/MME/SNCA/MOXD1/PTPRB/IQGAP2/CD53/TYROBP/IRAG2/SPARC	13
GO:0032994	protein-lipid complex	4/349	40/19944	0.1	5.71461318051576	3.98328338133788	0.00512673307499686	0.0413482167570399	0.0317927840577608	LPL/CLU/APOC1/APOL1	4
GO:0031256	leading edge membrane	9/349	185/19944	0.0486486486486487	2.78008208781848	3.24622589580998	0.0054164122522925	0.0423392022602722	0.0325547561711839	DDN/AIF1/EPB41L5/FERMT1/MYO1D/JCAD/NME1/ITGA8/PSD3	9
GO:0034361	very-low-density lipoprotein particle	3/349	21/19944	0.142857142857143	8.16373311502251	4.38335860437928	0.00559197010984727	0.0423392022602722	0.0325547561711839	LPL/APOC1/APOL1	3
GO:0034385	triglyceride-rich plasma lipoprotein particle	3/349	21/19944	0.142857142857143	8.16373311502251	4.38335860437928	0.00559197010984727	0.0423392022602722	0.0325547561711839	LPL/APOC1/APOL1	3
GO:0030017	sarcomere	10/349	222/19944	0.0450450450450451	2.57415008131341	3.14762126237604	0.00590695734673485	0.0438296235127726	0.033700746125582	MYOZ1/ANKRD2/PDLIM2/TNNT2/NEBL/SYNPO/MYL9/PARVA/TMOD1/CSRP1	10
GO:0043198	dendritic shaft	4/349	42/19944	0.0952380952380952	5.44248874334834	3.84625385451848	0.00610996534727193	0.0444470028203507	0.0341754511684353	ZNF804A/LPAR1/PRKAR2B/KIRREL1	4
GO:0043296	apical junction complex	8/349	157/19944	0.0509554140127389	2.91190480535835	3.20967779892086	0.00651901101756963	0.0465106362984295	0.0357621859465864	CLDN5/PALS1/MAGI2/SYNPO/NECTIN2/TJP1/JAM3/CXADR	8
GO:0032432	actin filament bundle	6/349	96/19944	0.0625	3.57163323782235	3.37071159806293	0.00682064688275977	0.0477445281793184	0.0367109295973763	PDLIM2/NEBL/SYNPO/MYL9/ABLIM1/MARCKS	6
GO:0005902	microvillus	6/349	97/19944	0.0618556701030928	3.53481227660769	3.33979306304622	0.00716617345748708	0.0490992160261132	0.0377525536759162	MYO1F/PODXL/JAM3/IQGAP2/MYO1B/MYO1D	6
GO:0042581	specific granule	8/349	160/19944	0.05	2.85730659025788	3.14790678446347	0.00727885951869603	0.0490992160261132	0.0377525536759162	QPCT/CHI3L1/LTF/ERP44/PTPRB/ANXA3/CD53/NIT2	8
