gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
PLCE1	-3.16319014129502	5.69717325590438	-5.23031853161212	3.20411591624477e-06	0.000226296912198614	4.39330798071194	TRUE
SLC35F2	1.50567888081481	6.033195770327	5.22674499539437	3.24462033837745e-06	0.000227532865925121	4.38143883437208	TRUE
CKMT1B	1.12230193304833	4.47871190397853	5.22293297957164	3.28838490112602e-06	0.000227532865925121	4.368780035299	TRUE
CKMT1A	1.12230193304833	4.47871190397853	5.22293297957164	3.28838490112602e-06	0.000227532865925121	4.368780035299	TRUE
SERPINF1	2.26604705986221	4.64014951488891	5.21995888501424	3.32293363524037e-06	0.000227624801382199	4.35890552324719	TRUE
MGAT5	-1.07091281729867	6.71424589830387	-5.20680982244118	3.48002260596684e-06	0.00023483261456403	4.3152668225171	TRUE
F5	-1.86960307411262	5.69232373355726	-5.20002911793928	3.56387104852525e-06	0.000239306040701713	4.29277508253782	TRUE
SDF2L1	1.7029969189742	5.07017347192057	5.1921347226302	3.66400454779534e-06	0.000242446825199021	4.26659944344869	TRUE
S100A14	1.66062983827962	5.77323290509477	5.18749799464559	3.72410587554193e-06	0.000244054265334192	4.2512304922265	TRUE
SERINC5	-1.76626305390869	9.25441428750814	-5.17661316821673	3.86904262299298e-06	0.000251137714257225	4.21516662383916	TRUE
NFASC	-1.73918387080909	5.57251702378714	-5.15728401242844	4.14025735408467e-06	0.000262492316248968	4.15117748757848	TRUE
OLFML2A	-2.48184623739307	5.01338106872086	-5.10968335444717	4.89066977216649e-06	0.000304405112622838	3.99388898530964	TRUE
TNNT2	-3.38475981679498	6.24535450752563	-5.1010562238818	5.04035259434659e-06	0.000309482190151074	3.96542761952577	TRUE
CORO2B	-2.19934630140526	5.83183125942526	-5.09533567534907	5.14208530486786e-06	0.00031431284659486	3.94656305638758	TRUE
TYRO3	-1.31998848213322	4.30377770730019	-5.08861871307375	5.26412261150314e-06	0.000319450875406603	3.92442065113678	TRUE
RRM2	1.66613039648072	4.51518688997065	5.08813536963138	5.27301349618411e-06	0.000319450875406603	3.92282764889009	TRUE
SPOCK2	-2.14977676389918	6.08012312595173	-5.0759476444587	5.5021559955966e-06	0.000331857913168041	3.88267431149949	TRUE
PTGER4	-1.27440869066238	6.445531295021	-5.06568652005742	5.7026604732016e-06	0.000340541648732972	3.84889071400051	TRUE
NPR1	-1.52185058538896	6.35250355185757	-5.06523136704365	5.71171902095797e-06	0.000340541648732972	3.84739265130047	TRUE
CHST2	-1.07833223377952	4.91521191844329	-5.06255192585588	5.76533381489113e-06	0.000341683761872961	3.83857452781226	TRUE
SRGAP2	-2.93839737341226	5.23168909621178	-5.05674590380223	5.88321702319349e-06	0.000347160741312339	3.81947157952567	TRUE
HTRA1	-2.02687076947438	11.2969245127717	-5.04437773595804	6.14230631866771e-06	0.000358166150040202	3.77880012856198	TRUE
NEBL	-1.37380120122754	5.24694325033487	-5.04396224264764	6.15120241558053e-06	0.000358166150040202	3.77743434943243	TRUE
CHI3L1	-3.58320541469439	7.0908835605766	-5.04141758742711	6.20596328661785e-06	0.000358166150040202	3.76907049711044	TRUE
ELOVL4	-1.69087790613606	4.15245580776192	-5.04042852724832	6.2273771227003e-06	0.000358166150040202	3.76581997229938	TRUE
WT1-AS	-1.85991379226107	5.13646296681436	-5.03889853450501	6.26064592182679e-06	0.000358566657816895	3.76079206980902	TRUE
GMPR	1.20080138552742	6.1757509009807	5.02689411278309	6.52781963070113e-06	0.000367688881760691	3.72135913047727	TRUE
GFOD1	-1.13988435765685	5.97732017433739	-5.02201547187518	6.63957999725584e-06	0.00037119018363421	3.70534174485813	TRUE
INF2	-1.38739554983993	6.69281946353959	-5.01536559823982	6.79495463134077e-06	0.000377290028750458	3.68351688426833	TRUE
VASH1	1.20919789749873	4.360751314872	5.00898563918435	6.94738443374405e-06	0.000377290028750458	3.66258635074265	TRUE
SLK	-1.2954593354458	10.3323224251154	-4.99399148465595	7.31899821153701e-06	0.000392776632367957	3.61342836719757	TRUE
SYNPO	-2.71635899381653	8.20074563687295	-4.98207330291709	7.62827001704231e-06	0.000405952483754886	3.5743880573315	TRUE
IGKV1-5	2.70159218010425	7.99412405051649	4.97563782347999	7.80057751871009e-06	0.000412130512238516	3.55331971348692	TRUE
FOXD1	-1.64047069383	4.72386402143671	-4.95493163103039	8.38136841514986e-06	0.000437725796424934	3.48559134255954	TRUE
MYLK3	-3.09627336865272	5.10947761092448	-4.95204027213921	8.46578133840206e-06	0.000440446814594498	3.47614116174221	TRUE
VAV3	1.34639877170257	9.43737813213372	4.9342731854929	9.00314966475954e-06	0.000457917660747527	3.41811012269056	TRUE
ST3GAL6	-1.23372896403185	4.67800635077481	-4.9304912154011	9.12179338055348e-06	0.000462227381302322	3.40576618993403	TRUE
CDKN1C	-2.7231950786149	8.444773261687	-4.92303555201536	9.36020384608937e-06	0.000472551624540905	3.38144081284016	TRUE
IGLV4-3	3.68960572834322	7.50894660790571	4.91786786191698	9.52903532605719e-06	0.000477537796064285	3.36458744089586	TRUE
CYAT1	3.68960572834322	7.50894660790571	4.91786786191698	9.52903532605719e-06	0.000477537796064285	3.36458744089586	TRUE
GOLIM4	-1.09107159746708	5.12448029491977	-4.90813099306086	9.85531765250187e-06	0.000490284069055668	3.33284850105938	TRUE
ZNF804A	-2.30586638605622	4.27653773021072	-4.89090226957967	1.04597682386915e-05	0.000509203931648584	3.27673984228883	TRUE
IL13RA2	-3.23808795806077	5.07348442501615	-4.88825440489562	1.05558397302758e-05	0.000512052140083235	3.26812240389593	TRUE
ITIH5	-2.14986474453758	9.0272716122129	-4.88545598835218	1.06583160748723e-05	0.000514124571231611	3.25901669768411	TRUE
GHR	-1.40095911114756	9.91210709472818	-4.88415575088565	1.07062619991265e-05	0.000514124571231611	3.25478647925523	TRUE
NELL2	1.45123316202028	4.45472018904797	4.88347279027324	1.07315308245648e-05	0.000514124571231611	3.25256467319759	TRUE
DYNC1I1	-2.34365859049686	6.57404626346826	-4.88298992598126	1.07494316485224e-05	0.000514124571231611	3.25099388311303	TRUE
ARHGAP19	-2.31414189388451	6.85788004109466	-4.8719172907564	1.11680631884152e-05	0.000524937480418234	3.21498822260588	TRUE
ARHGEF3	-1.79033308396596	10.3069782963592	-4.86372638651186	1.14880092634184e-05	0.000536277583115261	3.18837108749778	TRUE
NRIP2	-2.25374190756654	4.98951608855155	-4.86163685221488	1.15710598107855e-05	0.000538056784305071	3.1815833790763	TRUE
CERS6	-1.38939176179678	7.72370045411684	-4.86078543832139	1.16050689300632e-05	0.000538056784305071	3.17881790420673	TRUE
SMAGP	1.05486236943098	4.76914219589006	4.85060051534085	1.20195892687944e-05	0.000551646536440863	3.14574910108946	TRUE
TBXA2R	-1.09981663851156	4.19006176681329	-4.83569218853189	1.26526914429946e-05	0.00057261435534819	3.097387068919	TRUE
H2AJ	-1.80484903805345	5.30669865470571	-4.83468584110933	1.26965879031394e-05	0.00057261435534819	3.09412436469236	TRUE
LTF	3.48585124855925	5.0869306128849	4.80918597227658	1.38601513735726e-05	0.000615399750401199	3.01152931380285	TRUE
CTNNBIP1	-1.48353552938479	7.63394964596543	-4.7880479571965	1.4903503560499e-05	0.000648756045098683	2.94317852309249	TRUE
AMIGO2	-2.23475096999115	9.90843406241984	-4.78651512776623	1.4982090821186e-05	0.000648756045098683	2.93822618037496	TRUE
ITGB5	-1.2271144454865	8.03754479488853	-4.78539539492276	1.50397557223376e-05	0.000648756045098683	2.93460884628236	TRUE
ARRB1	-1.75687622098257	5.11989189546415	-4.76024141028986	1.63940879284369e-05	0.000698336914226634	2.85342761605237	TRUE
ALS2CL	-1.26985068772819	6.68888309595838	-4.74325139322967	1.73758151313438e-05	0.000731193469212374	2.79868155266963	TRUE
PTGDS	-3.31235641413972	9.060015437533	-4.7371743001791	1.77407790586711e-05	0.000744075567226909	2.77911686401233	TRUE
KLK6	-2.62336468353474	5.54617262708464	-4.69568479923606	2.04412095112049e-05	0.000840082610992235	2.64579075039122	TRUE
RIPOR1	-2.1278002589899	7.70409859296173	-4.69324735443798	2.06118136222408e-05	0.000840082610992235	2.63797152752121	TRUE
AIF1	-2.30065980562689	7.5175670054852	-4.69275917196116	2.06461502958256e-05	0.000840082610992235	2.63640563974823	TRUE
ADH1B	2.60955703318153	6.73025359270946	4.68166379021424	2.14418393574214e-05	0.000869862238931579	2.60083262613154	TRUE
COLGALT2	-2.00089069488949	4.82528650849822	-4.66087386157014	2.30144385416195e-05	0.000928135537753891	2.53426294562271	TRUE
LPL	-2.13427665093446	6.41708975955317	-4.65518413219769	2.34641571690386e-05	0.000934443351185004	2.51606384255332	TRUE
LPAR1	1.25779811442904	4.70850943773911	4.65504939572559	2.34749104300252e-05	0.000934443351185004	2.51563297816779	TRUE
CLU	1.53046053544789	8.20723360929851	4.65456494924424	2.35136137815609e-05	0.000934443351185004	2.51408383958194	TRUE
EPB41L5	-1.58665116181044	4.31183975813474	-4.64757482918765	2.4079072070991e-05	0.000949165470278465	2.49173800613664	TRUE
JUNB	-1.63347815154606	6.60567614847903	-4.64740507511539	2.40929684334494e-05	0.000949165470278465	2.49119549967133	TRUE
F2R	-1.68902304312449	6.08553262944372	-4.63744099894767	2.49225486858943e-05	0.000966843753809912	2.45936518014237	TRUE
VSIG4	1.58493737064701	4.92381200357934	4.63691299331065	2.49672805620343e-05	0.000966843753809912	2.45767919061851	TRUE
CRIM1	-1.19845907748737	10.4840541145948	-4.63405345129893	2.52109056613855e-05	0.000970762302458604	2.44854958490705	TRUE
SRRD	1.15160722984391	5.6465167901014	4.6295149261962	2.56023608672173e-05	0.000983058537974758	2.434063957486	TRUE
CCN2	-2.30786071687906	9.68982322139075	-4.59793561969876	2.84957133397801e-05	0.00106710183663336	2.3334240856661	TRUE
ALDH1A3	1.2429873196476	4.12545370935486	4.59008773395584	2.92629874680024e-05	0.00109283227993518	2.308455304671	TRUE
NUTF2	1.08547793443922	5.07732221480246	4.58926842583409	2.93442453457193e-05	0.00109287270029372	2.30584956189185	TRUE
PRKX	1.17012420645208	4.1579861413306	4.5846608518476	2.98053456645423e-05	0.00110702089033618	2.29119894636897	TRUE
TCF7L1	-1.81940358218979	5.61312526547843	-4.5809670394509	3.0180113044773e-05	0.00111549459745768	2.27945797660159	TRUE
NECTIN2	-1.31740253528163	7.12050129962048	-4.58070233197905	3.02071460483738e-05	0.00111549459745768	2.27861673343032	TRUE
CDC42EP3	-2.70182984055904	6.50343399755341	-4.56828200161101	3.15025352865732e-05	0.00115744220617595	2.23916635446801	TRUE
ERP44	-1.0657893311867	6.21367719847113	-4.56553533564407	3.17962526105773e-05	0.00116509333154511	2.23044790902241	TRUE
TNS2	-1.65552106422979	6.53295522118736	-4.55555680103165	3.28860222506297e-05	0.00120179455575961	2.19879164703785	TRUE
DPYSL3	-1.19138800260625	3.63038885027977	-4.55123594588297	3.33691603986638e-05	0.00121537979651965	2.18509256726728	TRUE
IL10RA	1.32633005478426	3.44485596315506	4.54575356212005	3.39921716179059e-05	0.00123230662586084	2.16771838544903	TRUE
SULF1	-2.73742715015289	7.3818286911091	-4.54482628687498	3.40986642115401e-05	0.00123288830734086	2.164780592544	TRUE
IGKV2D-28	1.53910403270527	4.71386833598801	4.53506189459204	3.52400360275838e-05	0.0012640971870842	2.13385964572069	TRUE
IGKV2-28	1.53910403270527	4.71386833598801	4.53506189459204	3.52400360275838e-05	0.0012640971870842	2.13385964572069	TRUE
TCF21	-2.55405243961543	7.85968002699059	-4.53385015692009	3.53842559970835e-05	0.00126433743668902	2.13002429426109	TRUE
C3	2.54880254172359	7.29185640367746	4.53273222656954	3.55178225504801e-05	0.00126433743668902	2.12648622446789	TRUE
MAP1B	-1.58226052133467	5.67028998217623	-4.53267229137872	3.55249973040786e-05	0.00126433743668902	2.12629654914903	TRUE
DACH1	-1.66691967226721	7.14477309726278	-4.5209079402567	3.69610590740506e-05	0.00130861349672308	2.08908581969843	TRUE
CAPG	1.61092147756205	6.00826621077108	4.51208122319907	3.80756178949717e-05	0.00134110787474511	2.0611925672727	TRUE
TNFAIP8	1.09904944735936	8.16530264413882	4.5073361062645	3.86882898647449e-05	0.00135568143739419	2.04620671276509	TRUE
FAM153CP	-2.36759006243393	7.2507886923805	-4.50364823388206	3.91710948684884e-05	0.00136890703633831	2.03456424776291	TRUE
COL4A5	-1.57221011735483	8.07481039065442	-4.4862305817598	4.15320477399751e-05	0.00142960440086768	1.97963015496048	TRUE
ZNF185	-1.95271903255135	8.3131315116688	-4.48525422758752	4.16684273102042e-05	0.00143068597648714	1.97655338781887	TRUE
TJP1	-1.08598497086001	8.35371112679344	-4.47437551833135	4.3217883239762e-05	0.00147644853744661	1.94229019989485	TRUE
CAND2	-1.78191872074406	7.72267429215726	-4.46814387897635	4.41306479226275e-05	0.0015001118748961	1.92267876274929	TRUE
NTNG1	-1.60470649710453	3.38070110306434	-4.46180913779467	4.50777939574536e-05	0.00151717385045444	1.90275448807849	TRUE
AGPS	1.09388825953487	5.1867401835727	4.45895549909534	4.55109137544115e-05	0.00152580334143129	1.89378295539517	TRUE
REC8	1.19974554292423	4.20322813134376	4.45265276028316	4.64819727352711e-05	0.00154535553744995	1.87397630734577	TRUE
ATP10A	-1.43365488516127	4.56339426631622	-4.44356321808845	4.79180861559514e-05	0.00158536755434896	1.84543264219265	TRUE
RETREG1	-1.30017384175985	6.4045297002116	-4.43445158834839	4.94011085500447e-05	0.00162271224734245	1.81684420091998	TRUE
MME	-1.78955981021979	12.0943002019173	-4.4250846250585	5.09723427256876e-05	0.00166402381971302	1.78748042808781	TRUE
ROBO1	-1.72703151080897	8.29488420928937	-4.38913654428151	5.7467496051818e-05	0.00184315162042901	1.67503491509726	TRUE
LOC730101	-1.14767507299717	6.28262305603663	-4.3744423187384	6.03488001487007e-05	0.0019086183174639	1.62918479885596	TRUE
LGALS8	-1.19822497992918	7.75829375370309	-4.35897410216629	6.35338952203407e-05	0.00197723864326133	1.58099160623099	TRUE
