gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
HLA-DQA2	0.745887349514875	5.1793842401544	1.20596769119891	0.233401758500195	0.487695042439215	-5.66989253607819	FALSE
RNF138	0.336688787060234	8.18267877653839	1.20592487336457	0.233418124633074	0.487695042439215	-5.66994224304563	FALSE
CETN2	0.133578339108192	11.6106274610098	1.20560490612422	0.233540451277686	0.487807311637845	-5.67031363841795	FALSE
CRACDL	-0.0137112175530021	2.48632426347599	-1.20553886065215	0.233565706941131	0.487807311637845	-5.67039028776648	FALSE
PNKP	0.328421753738065	6.28955912393206	1.20544569724942	0.233601335839316	0.487807311637845	-5.67049840221095	FALSE
GALNS	-0.191934786339782	8.75472486444392	-1.20540995804652	0.233615004795822	0.487807311637845	-5.67053987481887	FALSE
DNM1	0.200995427845681	5.13672312397994	1.20526928427322	0.233668813113328	0.487844936674494	-5.67070310469609	FALSE
CD74	0.349698329148216	9.15480573197854	1.20444805225317	0.233983118408923	0.488426322669529	-5.67165565726214	FALSE
VPS45	0.167927000602641	5.05846278593516	1.20416706445412	0.234090730013954	0.488576135480049	-5.6719814363262	FALSE
GPR87	-0.0165689064106944	2.51829878586672	-1.20386618663478	0.234205999049357	0.488685085148981	-5.67233019653569	FALSE
SDHAF1	0.225895815240536	7.72901852638899	1.20384365467185	0.234214632916022	0.488685085148981	-5.67235631097915	FALSE
SMIM8	-0.0931044969096133	4.2652850652401	-1.20350605096735	0.234344024742778	0.488781211277836	-5.67274753695552	FALSE
LINC01590	-0.0931044969096133	4.2652850652401	-1.20350605096735	0.234344024742778	0.488781211277836	-5.67274753695552	FALSE
GPR161	-0.0147666724893951	2.75327022151101	-1.20344278561997	0.234368277962874	0.488781211277836	-5.67282083935113	FALSE
PLXNA3	-0.0805401180148695	2.69372793769856	-1.20329385055425	0.234425380505971	0.488825510429384	-5.67299338861904	FALSE
POLR3G	-0.130133842690106	3.10327340719233	-1.20289129485547	0.234579773407862	0.489072635564785	-5.67345967021167	FALSE
ANP32A-IT1	-0.184752542750454	2.79107650270769	-1.2019253592209	0.234950542832366	0.48969653100744	-5.6745779164569	FALSE
RGS6	-0.0358203073519219	2.47267337838171	-1.20192450663902	0.234950870280145	0.48969653100744	-5.67457890310128	FALSE
IFNA2	-0.0182282442191508	2.4694387080024	-1.20177399156771	0.235008683227091	0.489742143566499	-5.67475307526174	FALSE
FOXRED2	0.0816612183544097	2.66288057847861	1.20117081009254	0.235240469716369	0.49015023581532	-5.67545085486968	FALSE
MAP3K8	-0.33096597041768	4.42051107638091	-1.20107372713849	0.235277791657765	0.490153076278007	-5.67556313266025	FALSE
LYVE1	-0.114648532674328	2.94234746533592	-1.20090679939488	0.235341974366364	0.490211866226759	-5.67575616690954	FALSE
LIN7C	-0.14348092509996	9.39070530352197	-1.20065970082936	0.235437005693973	0.490334885349815	-5.67604186375724	FALSE
GTF2E1	-0.210056767896916	6.19405418814499	-1.20052005330603	0.235490724925861	0.490371841042532	-5.67620330053469	FALSE
PPP1R12B	-0.0876190038506279	2.86528496477813	-1.20042044725455	0.235529046569393	0.490376727323567	-5.67631843733114	FALSE
IRF8	0.349585529968096	7.49037215860083	1.20010865110427	0.235649033925484	0.490484776736075	-5.67667879100633	FALSE
MMRN2	-0.220916987011234	4.56189706865117	-1.19990980696811	0.235725577630565	0.490484776736075	-5.67690855598378	FALSE
TUBA1C	0.302958518722825	11.3203664103332	1.19984918148259	0.235748918603886	0.490484776736075	-5.67697860176347	FALSE
COL19A1	-0.0101839548305183	2.57906297691333	-1.19984684111041	0.23574981968716	0.490484776736075	-5.67698130572756	FALSE
TSSK2	-0.0680358966143162	2.45401101195225	-1.19968926615592	0.235810494508309	0.490484776736075	-5.67716334952163	FALSE
ZNF750	-0.168310501687113	2.99061885791459	-1.19964647424244	0.235826973657364	0.490484776736075	-5.67721278243192	FALSE
NEUROD2	0.0164696277656256	2.2763533321343	1.19929002053698	0.235964276438758	0.490484776736075	-5.6776244905402	FALSE
MADD	0.123817197100089	5.98180119397638	1.19928535712141	0.23596607313054	0.490484776736075	-5.67762987607356	FALSE
CDS1	-0.147119087602505	5.56808395514814	-1.19925063955044	0.235979449213832	0.490484776736075	-5.67766996894913	FALSE
MYH11	-0.373467242054187	5.06300982101784	-1.19920591612033	0.235996681196604	0.490484776736075	-5.67772161527218	FALSE
TSEN34	-0.124868343993933	10.0073056794778	-1.19913779753072	0.236022929118974	0.490484776736075	-5.6778002746798	FALSE
NT5DC2	0.0308704174432131	2.4770891800604	1.19907645394957	0.236046568268089	0.490484776736075	-5.67787110709177	FALSE
CELSR3	-0.0485203003991837	2.81744995355195	-1.19907086413325	0.236048722425989	0.490484776736075	-5.67787756138966	FALSE
HNRNPM	-0.177326584331909	6.23198068686751	-1.19884521040834	0.236135694976911	0.490590711512007	-5.6781380894232	FALSE
SLC6A16	-0.0594101193596983	2.93586939027847	-1.19840111531244	0.23630692841233	0.490871646020798	-5.6786506833594	FALSE
SMAD6	-0.109060143818362	2.9571030109219	-1.19827513381926	0.236355520601694	0.490892528079985	-5.67879606406707	FALSE
ADGB	-0.2864118191029	3.21955582611275	-1.19818832702455	0.236389006992665	0.490892528079985	-5.67889622938241	FALSE
SERPING1	0.410912514292747	8.87881951426258	1.197833096105	0.236526076051981	0.491102352271829	-5.67930605472056	FALSE
P2RX6	-0.0603717087132671	2.43328550353329	-1.197242745149	0.23675399626568	0.49145285156627	-5.67998688137974	FALSE
BCL2L13	-0.286722933419496	9.2258473385603	-1.19720909494813	0.23676699260771	0.49145285156627	-5.68002567918469	FALSE
AKAP4	-0.208359470243519	3.1391476261227	-1.19679213991608	0.236928071583113	0.491671786589301	-5.680506332099	FALSE
PAX3	-0.0281590424599303	2.54774516528256	-1.19674749777886	0.236945322556051	0.491671786589301	-5.68055778481525	FALSE
ACSL5	-0.429097323681827	5.04947265883576	-1.19665600915827	0.236980679179203	0.491671786589301	-5.68066322522802	FALSE
DGCR5	0.156076185440356	2.96523991622577	1.19640926055084	0.237076056600051	0.491794814718506	-5.68094756447076	FALSE
RTP4	0.415566502960464	4.84603911458731	1.19617769652539	0.237165590024466	0.491905684361457	-5.68121435551855	FALSE
OR2W1	-0.0278406097621309	2.51887869764263	-1.19586146198463	0.237287900745145	0.4920844933907	-5.68157861898085	FALSE
ALPI	0.0262591325449573	2.45015365700592	1.19547958940994	0.237435659588465	0.492201351668423	-5.68201836825812	FALSE
VASH1-AS1	-0.207427191470528	3.17119030632182	-1.1953852807261	0.237472160970173	0.492201351668423	-5.68212694997856	FALSE
EDDM3B	-0.0207572470766837	2.59799072476254	-1.19531762756702	0.237498348069671	0.492201351668423	-5.68220483704499	FALSE
KPNA4	0.139777278017097	5.87930918405676	1.1953072598034	0.237502361396143	0.492201351668423	-5.68221677277469	FALSE
CAPRIN2	0.233584674727838	5.81715037817793	1.1952493066393	0.237524795779832	0.492201351668423	-5.6822834886711	FALSE
LINC01565	-0.0473410243088872	2.50983072926754	-1.19443226078771	0.237841248355435	0.492782194305052	-5.68322374991011	FALSE
GIN1	0.342719661808378	7.0321416995674	1.19408821490615	0.237974593525048	0.492936041437693	-5.68361949837537	FALSE
